availableDocks,totalDocks,city,altitude,stAddress2,longitude,lastCommunicationTime,postalCode,statusValue,testStation,stAddress1,stationName,landMark,latitude,statusKey,availableBikes,id,location
21,29,,,,-74.00910627,,,In Service,False,Warren St & Church St,Warren St & Church St,,40.71473993,1,7,152,
50,55,,,,-73.9816324043,,,In Service,False,E 40 St & 5 Ave,E 40 St & 5 Ave,,40.752062307,1,5,153,
5,23,,,,-73.99612349,,,In Service,False,Henry St & Atlantic Ave,Henry St & Atlantic Ave,,40.69089272,1,17,157,
24,26,,,,-73.978311,,,In Service,False,E 37 St & Lexington Ave,E 37 St & Lexington Ave,,40.748238,1,1,160,
11,35,,,,-73.99810231,,,In Service,False,LaGuardia Pl & W 3 St,LaGuardia Pl & W 3 St,,40.72917025,1,24,161,
13,47,,,,-73.97032517,,,In Service,False,E 47 St & 2 Ave,E 47 St & 2 Ave,,40.75323098,1,34,164,
31,45,,,,-73.97604882,,,In Service,False,E 39 St & 3 Ave,E 39 St & 3 Ave,,40.7489006,1,14,167,
31,47,,,,-73.99456405,,,In Service,False,W 18 St & 6 Ave,W 18 St & 6 Ave,,40.73971301,1,16,168,
51,51,,,,-73.98442659,,,Not In Service,False,Broadway & W 49 St,Broadway & W 49 St,,40.76064679,3,0,173,
4,30,,,,-73.97738662,,,In Service,False,E 25 St & 1 Ave,E 25 St & 1 Ave,,40.7381765,1,26,174,
31,45,,,,-74.01043382,,,In Service,False,Liberty St & Broadway,Liberty St & Broadway,,40.70905623,1,14,195,
7,28,,,,-74.00681753,,,In Service,False,W 16 St & The High Line,W 16 St & The High Line,,40.74334935,1,21,212,
23,23,,,,-73.99548059,,,In Service,False,Columbia Heights & Cranberry St,Columbia Heights & Cranberry St,,40.70037867,1,0,216,
35,39,,,,-73.99383605,,,In Service,False,Old Fulton St,Old Fulton St,,40.70277159,1,4,217,
27,38,,,,-73.98707105,,,In Service,False,Gallatin Pl & Livingston St,Gallatin Pl & Livingston St,,40.69028437,1,11,218,
6,33,,,,-73.99994661,,,In Service,False,W 13 St & 7 Ave,W 13 St & 7 Ave,,40.73781509,1,27,223,
16,31,,,,-74.00552427,,,In Service,False,Spruce St & Nassau St,Spruce St & Nassau St,,40.71146364,1,14,224,
3,37,,,,-74.00803013,,,In Service,False,W 14 St & The High Line,W 14 St & The High Line,,40.74195138,1,34,225,
16,55,,,,-73.971878855,,,In Service,False,E 48 St & 3 Ave,E 48 St & 3 Ave,,40.7546011026,1,39,228,
3,27,,,,-73.99379025,,,In Service,False,Great Jones St,Great Jones St,,40.72743423,1,24,229,
23,23,,,,-73.99014892,,,In Service,False,Cadman Plaza E & Tillary St,Cadman Plaza E & Tillary St,,40.69597683,1,0,232,
15,39,,,,-73.98963911,,,In Service,False,Joralemon St & Adams St,Joralemon St & Adams St,,40.69246277,1,22,233,
11,39,,,,-73.98713956,,,In Service,False,St Marks Pl & 2 Ave,St Marks Pl & 2 Ave,,40.7284186,1,27,236,
16,39,,,,-73.98672378,,,In Service,False,E 11 St & 2 Ave,E 11 St & 2 Ave,,40.73047309,1,21,237,
22,31,,,,-74.00859207,,,In Service,False,Bank St & Washington St,Bank St & Washington St,,40.7361967,1,9,238,
13,31,,,,-73.9813018,,,In Service,False,Willoughby St & Fleet St,Willoughby St & Fleet St,,40.69196566,1,18,239,
22,23,,,,-73.97493121,,,In Service,False,DeKalb Ave & S Portland Ave,DeKalb Ave & S Portland Ave,,40.68981035,1,0,241,
20,23,,,,-73.97350332,,,In Service,False,Flushing Ave & Carlton Ave,Flushing Ave & Carlton Ave,,40.69788349,1,2,242,
7,39,,,,-73.979244,,,In Service,False,Fulton St & Rockwell Pl,Fulton St & Rockwell Pl,,40.688265,1,32,243,
28,31,,,,-73.96536851,,,In Service,False,Willoughby Ave & Hall St,Willoughby Ave & Hall St,,40.69196035,1,3,244,
23,23,,,,-73.97703874,,,In Service,False,Myrtle Ave & St Edwards St,Myrtle Ave & St Edwards St,,40.69327018,1,0,245,
5,20,,,,-74.00483091,,,In Service,False,Perry St & Bleecker St,Perry St & Bleecker St,,40.73535398,1,15,247,
13,23,,,,-74.00771779,,,In Service,False,Laight St & Hudson St,Laight St & Hudson St,,40.72185379,1,10,248,
18,27,,,,-74.0090009,,,In Service,False,Harrison St & Hudson St,Harrison St & Hudson St,,40.71870987,1,9,249,
2,40,,,,-73.99565293,,,In Service,False,Lafayette St & Jersey St,Lafayette St & Jersey St,,40.72456089,1,38,250,
15,27,,,,-73.99480012,,,In Service,False,Mott St & Prince St,Mott St & Prince St,,40.72317958,1,12,251,
4,33,,,,-73.99852205,,,In Service,False,MacDougal St & Washington Sq,MacDougal St & Washington Sq,,40.73226398,1,28,252,
23,47,,,,-73.99453948,,,In Service,False,W 13 St & 5 Ave,W 13 St & 5 Ave,,40.73543934,1,24,253,
23,31,,,,-73.99800419,,,In Service,False,W 11 St & 6 Ave,W 11 St & 6 Ave,,40.73532427,1,8,254,
21,39,,,,-74.00247214,,,In Service,False,Lispenard St & Broadway,Lispenard St & Broadway,,40.71939226,1,18,257,
23,23,,,,-73.96885458,,,In Service,False,DeKalb Ave & Vanderbilt Ave,DeKalb Ave & Vanderbilt Ave,,40.68940747,1,0,258,
28,39,,,,-74.01234218,,,In Service,False,South St & Whitehall St,South St & Whitehall St,,40.70122128,1,10,259,
26,35,,,,-74.01167797,,,In Service,False,Broad St & Bridge St,Broad St & Bridge St,,40.70365182,1,9,260,
21,27,,,,-73.98362464,,,In Service,False,Johnson St & Gold St,Johnson St & Gold St,,40.69474881,1,6,261,
23,24,,,,-73.97372989,,,In Service,False,Washington Park,Washington Park,,40.69178232,1,1,262,
28,31,,,,-73.996375,,,In Service,False,Elizabeth St & Hester St,Elizabeth St & Hester St,,40.71729,1,3,263,
15,27,,,,-74.00731853,,,In Service,False,Maiden Ln & Pearl St,Maiden Ln & Pearl St,,40.70706456,1,12,264,
13,35,,,,-73.99147535,,,In Service,False,Stanton St & Chrystie St,Stanton St & Chrystie St,,40.72229346,1,20,265,
20,24,,,,-73.97574813,,,In Service,False,Avenue D & E 8 St,Avenue D & E 8 St,,40.72368361,1,4,266,
36,57,,,,-73.98765428,,,In Service,False,Broadway & W 36 St,Broadway & W 36 St,,40.75097711,1,20,267,
15,27,,,,-73.99973337,,,In Service,False,Howard St & Centre St,Howard St & Centre St,,40.71910537,1,12,268,
19,23,,,,-73.97178913,,,In Service,False,Adelphi St & Myrtle Ave,Adelphi St & Myrtle Ave,,40.69308257,1,2,270,
22,39,,,,-73.97805813,,,In Service,False,Ashland Pl & Hanson Pl,Ashland Pl & Hanson Pl,,40.68528172,1,16,271,
8,31,,,,-73.976682,,,In Service,False,Lafayette Ave & Fort Greene Pl,Lafayette Ave & Fort Greene Pl,,40.68691865,1,23,274,
18,19,,,,-73.96563307,,,In Service,False,Washington Ave & Greene Ave,Washington Ave & Greene Ave,,40.68650065,1,0,275,
7,25,,,,-74.0104554,,,In Service,False,Duane St & Greenwich St,Duane St & Greenwich St,,40.71748752,1,16,276,
17,19,,,,-73.98476437,,,In Service,False,Concord St & Bridge St,Concord St & Bridge St,,40.69766564,1,2,278,
6,19,,,,-73.98271933,,,In Service,False,Sands St & Gold St,Sands St & Gold St,,40.69986937,1,13,279,
22,31,,,,-73.99510132,,,In Service,False,E 10 St & 5 Ave,E 10 St & 5 Ave,,40.73331967,1,9,280,
36,59,,,,-73.97371465,,,In Service,False,Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,,40.7643971,1,20,281,
25,27,,,,-73.96834101,,,In Service,False,Kent Ave & S 11 St,Kent Ave & S 11 St,,40.70827295,1,2,282,
9,43,,,,-74.0026376103,,,In Service,False,Greenwich Ave & 8 Ave,Greenwich Ave & 8 Ave,,40.7390169121,1,33,284,
18,47,,,,-73.99074142,,,In Service,False,Broadway & E 14 St,Broadway & E 14 St,,40.73454567,1,28,285,
13,19,,,,-73.95881081,,,In Service,False,Monroe St & Classon Ave,Monroe St & Classon Ave,,40.6845683,1,6,289,
21,29,,,,-73.96478473,,,In Service,False,2 Ave & E 58 St,2 Ave & E 58 St,,40.76020258,1,7,290,
9,20,,,,-73.984844,,,In Service,False,Madison St & Montgomery St,Madison St & Montgomery St,,40.713126,1,11,291,
22,55,,,,-73.9907647,,,In Service,False,Lafayette St & E 8 St,Lafayette St & E 8 St,,40.73028666,1,31,293,
24,31,,,,-73.9957214,,,In Service,False,Washington Square E,Washington Square E,,40.73049393,1,7,294,
14,24,,,,-73.99293911,,,In Service,False,Pike St & E Broadway,Pike St & E Broadway,,40.71406667,1,10,295,
19,35,,,,-73.9970468,,,In Service,False,Division St & Bowery,Division St & Bowery,,40.71413089,1,16,296,
7,27,,,,-73.986923,,,In Service,False,E 15 St & 3 Ave,E 15 St & 3 Ave,,40.734232,1,20,297,
18,35,,,,-73.9796772,,,In Service,False,3 Ave & Schermerhorn St,3 Ave & Schermerhorn St,,40.68683208,1,16,298,
34,55,,,,-73.990214,,,In Service,False,Shevchenko Pl & E 6 St,Shevchenko Pl & E 6 St,,40.728145,1,21,300,
35,36,,,,-73.98368779,,,In Service,False,E 2 St & Avenue B,E 2 St & Avenue B,,40.72217444,1,0,301,
14,23,,,,-73.97793172,,,In Service,False,Avenue D & E 3 St,Avenue D & E 3 St,,40.72082834,1,9,302,
21,31,,,,-73.99949601,,,In Service,False,Mercer St & Spring St,Mercer St & Spring St,,40.72362738,1,10,303,
21,36,,,,-74.01361706,,,In Service,False,Broadway & Battery Pl,Broadway & Battery Pl,,40.70463334,1,15,304,
6,33,,,,-73.96724467,,,In Service,False,E 58 St & 3 Ave,E 58 St & 3 Ave,,40.76095756,1,26,305,
11,37,,,,-74.00530063,,,In Service,False,Cliff St & Fulton St,Cliff St & Fulton St,,40.70823502,1,25,306,
