station_start,station_end,distance_meters
chicago108,chicago67,6290
chicago108,chicago68,1299
chicago108,chicago69,6009
chicago108,chicago71,2069
chicago108,chicago72,3145
chicago108,chicago73,1466
chicago108,chicago74,3259
chicago108,chicago75,1412
chicago108,chicago76,4884
chicago108,chicago77,1717
chicago108,chicago80,1824
chicago108,chicago81,3056
chicago108,chicago84,2443
chicago108,chicago85,8486
chicago108,chicago86,3790
chicago108,chicago87,6461
chicago108,chicago88,2259
chicago108,chicago90,3023
chicago108,chicago91,1921
chicago108,chicago92,3183
chicago108,chicago93,5002
chicago108,chicago94,6605
chicago108,chicago97,4224
chicago108,chicago98,2555
chicago108,chicago99,9573
chicago109,chicago100,3339
chicago109,chicago106,4394
chicago109,chicago108,557
chicago109,chicago109,0
chicago109,chicago110,3928
chicago109,chicago111,3334
chicago109,chicago112,1164
chicago109,chicago113,5216
chicago109,chicago114,9793
chicago109,chicago115,7276
chicago109,chicago116,6183
chicago109,chicago117,8694
chicago109,chicago118,5001
chicago109,chicago119,2623
chicago109,chicago120,3607
chicago109,chicago121,13043
chicago109,chicago122,2160
chicago109,chicago123,7304
chicago109,chicago124,3889
chicago109,chicago126,5694
chicago109,chicago127,5928
chicago109,chicago128,4825
chicago109,chicago129,2561
chicago109,chicago13,6923
chicago109,chicago130,4843
chicago109,chicago131,8219
chicago109,chicago132,4203
chicago109,chicago134,365
chicago109,chicago135,2451
chicago109,chicago136,1612
chicago109,chicago137,1858
chicago109,chicago138,4264
chicago109,chicago14,2339
chicago109,chicago140,4388
chicago109,chicago141,5885
chicago109,chicago143,6699
chicago109,chicago144,5768
chicago109,chicago146,1428
chicago109,chicago147,5371
chicago109,chicago148,6439
chicago109,chicago149,6931
chicago109,chicago15,2807
chicago109,chicago150,7589
chicago109,chicago152,6968
chicago109,chicago153,7657
chicago109,chicago154,8063
chicago109,chicago156,8507
chicago109,chicago157,8789
chicago109,chicago158,5594
chicago109,chicago159,6131
chicago109,chicago16,4980
chicago109,chicago160,6507
chicago109,chicago162,8033
chicago109,chicago163,7452
chicago109,chicago164,2431
chicago109,chicago165,8950
chicago109,chicago166,7301
chicago109,chicago167,4533
chicago109,chicago168,3254
chicago109,chicago169,1082
chicago109,chicago17,4494
chicago109,chicago170,2545
chicago109,chicago171,2903
chicago109,chicago173,4805
chicago109,chicago174,1659
chicago109,chicago175,1799
chicago109,chicago176,4743
chicago109,chicago177,9600
chicago109,chicago178,4266
chicago109,chicago179,8303
chicago109,chicago181,3278
chicago109,chicago183,4732
chicago109,chicago184,6644
chicago109,chicago185,6639
chicago109,chicago186,3252
chicago109,chicago188,6464
chicago109,chicago19,1520
chicago109,chicago190,6899
chicago109,chicago191,1507
chicago109,chicago192,1384
chicago109,chicago193,5432
chicago109,chicago194,3286
chicago109,chicago195,3897
chicago109,chicago196,4574
chicago109,chicago197,2982
chicago109,chicago198,962
chicago109,chicago199,4032
chicago109,chicago20,4570
chicago109,chicago200,9782
chicago109,chicago201,8690
chicago109,chicago202,2061
chicago109,chicago203,4774
chicago109,chicago204,11561
chicago109,chicago205,3153
chicago109,chicago206,3205
chicago109,chicago207,3684
chicago109,chicago208,3219
chicago109,chicago209,3619
chicago109,chicago21,1188
chicago109,chicago210,4083
chicago109,chicago211,4439
chicago109,chicago212,3309
chicago109,chicago213,5700
chicago109,chicago214,4312
chicago109,chicago215,2897
chicago109,chicago216,6913
chicago109,chicago217,1879
chicago109,chicago218,3551
chicago109,chicago219,5807
chicago109,chicago22,1064
chicago109,chicago220,8093
chicago109,chicago222,6863
chicago109,chicago223,5509
chicago109,chicago224,4607
chicago109,chicago225,5276
chicago109,chicago226,7810
chicago109,chicago227,9026
chicago109,chicago228,8538
chicago109,chicago229,8536
chicago109,chicago23,4336
chicago109,chicago230,8775
chicago109,chicago231,14784
chicago109,chicago232,9831
chicago109,chicago233,1231
chicago109,chicago234,10371
chicago109,chicago236,4669
chicago109,chicago237,6120
chicago109,chicago238,11282
chicago109,chicago239,11715
chicago109,chicago24,4391
chicago109,chicago240,9849
chicago109,chicago241,545
chicago109,chicago242,11485
chicago109,chicago243,11086
chicago109,chicago244,10505
chicago109,chicago245,14231
chicago109,chicago246,10301
chicago109,chicago247,13230
chicago109,chicago248,14592
chicago109,chicago249,14671
chicago109,chicago25,4762
chicago109,chicago250,8716
chicago109,chicago251,15054
chicago109,chicago252,12202
chicago109,chicago253,15865
chicago109,chicago254,13483
chicago109,chicago255,3099
chicago109,chicago256,10503
chicago109,chicago257,9899
chicago109,chicago258,7703
chicago109,chicago259,7224
chicago109,chicago26,4501
chicago109,chicago260,8467
chicago109,chicago261,1927
chicago109,chicago262,5436
chicago109,chicago263,7859
chicago109,chicago264,4907
chicago109,chicago265,10090
chicago109,chicago267,11648
chicago109,chicago268,6142
chicago109,chicago27,4549
chicago109,chicago271,10744
chicago109,chicago272,6426
chicago109,chicago273,3940
chicago109,chicago274,2025
chicago109,chicago275,2381
chicago109,chicago276,7580
chicago109,chicago277,3236
chicago109,chicago278,5436
chicago109,chicago279,5102
chicago109,chicago28,5057
chicago109,chicago280,4628
chicago109,chicago281,5382
